date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:09	137068/137068	---M-Z	200	added ('OK')	font/ttf	etag:W/%222176c-TSKGCzG6Go+sxMUOXllIXaYg4S4%22	https://cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon.ttf?3ka2yj	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon75d5.ttf	(from https://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css)
16:08:09	137144/137144	---M--	200	added ('OK')	font/woff	etag:W/%22217b8-Q7NwObQQcbsjd4y1Wq/QblQ3uiU%22	https://cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon.woff?3ka2yj	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon75d5.woff	(from https://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css)
16:08:10	550393/550393	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22865f9-XWCcqauTSNHLClqM7v+Z2WJ1Pwk%22	https://cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon.svg?3ka2yj	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon75d5.svg	(from https://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css)
16:08:10	7208/7208	---M--	200	added ('OK')	text/css	etag:W/%227208-1606350101000%22	https://aisw.kangwon.ac.kr/_res/_common/_plugin/froala-editor/latest/css/froala_style.min.css	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/_common/_plugin/froala-editor/latest/css/froala_style.min.css	(from https://aisw.kangwon.ac.kr/_res/_common/css/cms.css)
16:08:10	3975/3975	---M--	200	added ('OK')	text/css	etag:W/%223975-1645164945000%22	https://aisw.kangwon.ac.kr/_res/_common/css/define.min.css	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/_common/css/define.min.css	(from https://aisw.kangwon.ac.kr/_res/_common/css/cms.css)
16:08:10	9110/9110	---M--	200	added ('OK')	text/css	etag:W/%229110-1645164945000%22	https://aisw.kangwon.ac.kr/_res/_common/css/row-col.min.css	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/_common/css/row-col.min.css	(from https://aisw.kangwon.ac.kr/_res/_common/css/cms.css)
16:08:10	1931/1931	---M--	200	added ('OK')	text/css	etag:W/%221931-1645508351000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/css/font.css	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/_share/css/font.css	(from https://aisw.kangwon.ac.kr/_res/knu/_share/css/cms-common.css?66641)
16:08:11	2308/2308	---M--	200	added ('OK')	text/css	etag:W/%222308-1636609892000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/css/table.css	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/_share/css/table.css	(from https://aisw.kangwon.ac.kr/_res/knu/_share/css/cms-common.css?66641)
16:08:11	6310/6310	---M--	200	added ('OK')	text/css	etag:W/%226310-1638437536000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/css/sub-guide.css	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/_share/css/sub-guide.css	(from https://aisw.kangwon.ac.kr/_res/knu/_share/css/cms-common.css?66641)
16:08:11	1324/1324	---M--	200	added ('OK')	image/png	etag:W/%221324-1609226602000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/img/temp08/btn-vi-prev.png	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/_share/img/temp08/btn-vi-prev.png	(from https://aisw.kangwon.ac.kr/_res/knu/_share/css/main-visual-temp08.widget.css?26038)
