0:0:0:0:0:0:0:1 - - [23/May/2022:09:53:41 +0900] "GET /FreeBoard/chap10-original/freeboard_del.jsp?id=3&page=1 HTTP/1.1" 200 3283
0:0:0:0:0:0:0:1 - - [23/May/2022:09:53:41 +0900] "GET /FreeBoard/chap10-original/freeboard.css HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [23/May/2022:09:53:44 +0900] "POST /FreeBoard/chap10-original/freeboard_deldb.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [23/May/2022:09:53:45 +0900] "GET /FreeBoard/chap10-original/freeboard_list.jsp?go=1 HTTP/1.1" 200 4684
0:0:0:0:0:0:0:1 - - [23/May/2022:09:53:46 +0900] "GET /FreeBoard/chap10-original/freeboard_read.jsp?id=2&page=1 HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [23/May/2022:09:55:55 +0900] "GET /FreeBoard/chap10-original/freeboard_list.jsp?go=1 HTTP/1.1" 200 4684
0:0:0:0:0:0:0:1 - - [23/May/2022:09:57:44 +0900] "GET /FreeBoard/chap10-original/freeboard_read.jsp?id=1&page=1 HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [23/May/2022:09:57:45 +0900] "GET /FreeBoard/chap10-original/freeboard_upd.jsp?id=1&page=1 HTTP/1.1" 200 3374
0:0:0:0:0:0:0:1 - - [23/May/2022:09:57:48 +0900] "POST /FreeBoard/chap10-original/freeboard_upddb.jsp?id=1&page=1 HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [23/May/2022:09:57:50 +0900] "GET /FreeBoard/chap10-original/freeboard_list.jsp?go=1 HTTP/1.1" 200 4684
0:0:0:0:0:0:0:1 - - [23/May/2022:10:14:00 +0900] "GET /FreeBoard/chap10-original/freeboard_read.jsp?id=1&page=1 HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [23/May/2022:10:14:01 +0900] "GET /FreeBoard/chap10-original/freeboard_upd.jsp?id=1&page=1 HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [23/May/2022:10:14:25 +0900] "GET /FreeBoard/chap10-original/freeboard_list.jsp?go=1 HTTP/1.1" 200 4684
